교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
서울특별시강서양천교육지원청,S010001035,서울신목초등학교,양천구,40,957,2,15,2,초,2023
서울특별시강서양천교육지원청,S010001037,서울신원초등학교,양천구,23,415,2,12,2,초,2023
서울특별시강서양천교육지원청,S010001038,서울신월초등학교,강서구,32,604,2,11,2,초,2023
서울특별시강서양천교육지원청,S010001039,서울신정초등학교,강서구,67,1321,3,14,2,초,2023
서울특별시강서양천교육지원청,S010001040,서울양강초등학교,양천구,25,508,1,8,2,초,2023
서울특별시강서양천교육지원청,S010001041,서울양동초등학교,양천구,20,339,2,8,2,초,2023
서울특별시강서양천교육지원청,S010001042,서울양명초등학교,양천구,27,588,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001043,서울양목초등학교,양천구,35,616,2,8,2,초,2023
서울특별시강서양천교육지원청,S010001044,서울양원초등학교,양천구,15,238,2,5,2,초,2023
서울특별시강서양천교육지원청,S010001046,서울양화초등학교,양천구,31,626,2,8,2,초,2023
서울특별시강서양천교육지원청,S010001048,서울염동초등학교,강서구,39,924,1,7,2,초,2023
서울특별시강서양천교육지원청,S010001049,서울염창초등학교,강서구,40,864,2,9,2,초,2023
서울특별시강서양천교육지원청,S010001052,서울월정초등학교,강서구,43,854,2,14,2,초,2023
서울특별시강서양천교육지원청,S010001054,서울은정초등학교,양천구,19,309,2,10,2,초,2023
서울특별시강서양천교육지원청,S010001055,서울정곡초등학교,강서구,14,152,2,4,2,초,2023
서울특별시강서양천교육지원청,S010001056,서울정목초등학교,양천구,43,893,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001057,서울지향초등학교,양천구,31,663,1,7,2,초,2023
서울특별시강서양천교육지원청,S010001058,서울치현초등학교,강서구,30,535,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001059,서울탑산초등학교,강서구,25,466,2,12,2,초,2023
서울특별시강서양천교육지원청,S010001060,서울화곡초등학교,강서구,41,800,2,12,2,초,2023
서울특별시남부교육지원청,S010001199,서울개명초등학교,구로구,17,315,1,5,2,초,2023
